patient_id,model,rmse,mae,hypo_precision,hypo_recall,hypo_f1
85101,patchtst,21.318354,15.783438,0.000000,0.000000,0.000000
85102,patchtst,49.169556,36.740490,0.000000,0.000000,0.000000
85104,patchtst,32.856197,23.075285,0.000000,0.000000,0.000000
85105,patchtst,41.071354,30.385641,0.033898,0.086957,0.048780
85106,patchtst,34.700638,25.420023,0.125000,0.166667,0.142857
85107,patchtst,29.412066,21.614885,0.000000,0.000000,0.000000
85111,patchtst,33.492523,26.385670,0.000000,0.000000,0.000000
85112,patchtst,52.855469,39.324085,0.000000,0.000000,0.000000
85116,patchtst,51.207432,37.632576,0.000000,0.000000,0.000000
85117,patchtst,36.576393,27.873461,0.000000,0.000000,0.000000
85118,patchtst,34.034344,23.257088,0.034483,0.071429,0.046512
85119,patchtst,41.598942,29.884195,0.000000,0.000000,0.000000
85120,patchtst,41.521965,31.695665,0.000000,0.000000,0.000000
85121,patchtst,30.974045,22.245287,0.000000,0.000000,0.000000
85122,patchtst,52.569443,39.338894,0.000000,0.000000,0.000000
85123,patchtst,31.659586,24.126965,0.142857,0.285714,0.190476
85124,patchtst,42.697857,30.996538,0.000000,0.000000,0.000000
85125,patchtst,39.486855,27.228491,0.000000,0.000000,0.000000
85126,patchtst,29.260630,21.160423,0.000000,0.000000,0.000000
85201,patchtst,46.348381,35.428692,0.000000,0.000000,0.000000
85202,patchtst,36.618740,24.478434,0.200000,0.500000,0.285714
85204,patchtst,58.914738,43.002117,0.045455,0.166667,0.071429
85207,patchtst,39.553600,30.116713,0.166667,0.200000,0.181818
85208,patchtst,30.760963,23.665066,0.000000,0.000000,0.000000
85209,patchtst,36.997910,27.808521,0.054054,0.133333,0.076923
85211,patchtst,35.376068,26.596487,0.200000,0.250000,0.222222
85214,patchtst,41.772739,30.930737,0.500000,1.000000,0.666667
85215,patchtst,30.447786,22.881340,0.000000,0.000000,0.000000
85216,patchtst,35.056454,25.412434,0.000000,0.000000,0.000000
85217,patchtst,49.603088,36.805351,0.000000,0.000000,0.000000
85218,patchtst,40.351009,30.254787,0.066667,0.100000,0.080000
85219,patchtst,36.133667,26.601990,0.000000,0.000000,0.000000
85220,patchtst,38.910854,29.057959,0.125000,0.111111,0.117647
85221,patchtst,47.361603,33.948189,0.000000,0.000000,0.000000
85222,patchtst,49.939060,38.668346,0.040000,0.125000,0.060606
85224,patchtst,33.146160,24.197832,0.000000,0.000000,0.000000
