model,tau_steps,tau_minutes,patient_id,precision,recall,f1,f2,tp,fp,fn
lstm_event,1,5,85101,0.03587443946188325,0.999999999999875,0.06926406926406867,0.15686274509803613,8,215,0
lstm_event,1,5,85102,0.07905982905982889,0.9999999999999729,0.14653465346534597,0.3003246753246729,37,431,0
lstm_event,1,5,85104,0.05521472392638003,0.9999999999998889,0.10465116279069647,0.22613065326632595,9,154,0
lstm_event,1,5,85105,0.14984709480122302,0.9702970297029607,0.2596026490066219,0.4631379962192796,98,556,3
lstm_event,1,5,85106,0.1847290640394084,0.9999999999999868,0.3118503118503105,0.5311614730878149,75,331,0
lstm_event,1,5,85107,0.041095890410958805,0.9999999999999445,0.07894736842105227,0.17647058823529235,18,420,0
lstm_event,1,5,85111,0.002915451895043723,0.9999999999989999,0.005813953488372058,0.014409221902017082,1,342,0
lstm_event,1,5,85112,0.07446808510638259,0.9999999999999286,0.13861386138613724,0.2868852459016335,14,174,0
lstm_event,1,5,85116,0.02643171806167395,0.8571428571427959,0.05128205128205106,0.11764705882352826,12,442,2
lstm_event,1,5,85117,0.11111111111111084,0.9999999999999791,0.19999999999999912,0.3846153846153816,48,384,0
lstm_event,1,5,85118,0.3744394618834072,0.9940476190476132,0.5439739413680764,0.7468694096601041,167,279,1
lstm_event,1,5,85119,0.1370967741935473,0.944444444444392,0.23943661971830646,0.433673469387744,17,107,1
lstm_event,1,5,85120,0.03448275862068847,0.16666666666663887,0.05714285714285388,0.09433962264150053,1,28,5
lstm_event,1,5,85121,0.09313725490196055,0.9743589743589494,0.17002237136465248,0.33687943262411046,38,370,1
lstm_event,1,5,85122,0.037533512064343064,0.8235294117646575,0.07179487179487143,0.15873015873015697,14,359,3
lstm_event,1,5,85123,0.315573770491802,0.9999999999999871,0.47975077881619643,0.6974637681159357,77,167,0
lstm_event,1,5,85124,0.15060240963855331,0.99999999999996,0.2617801047120391,0.46992481203006636,25,141,0
lstm_event,1,5,85125,0.16964285714285562,0.8636363636363245,0.2835820895522345,0.4749999999999882,19,93,3
lstm_event,1,5,85126,0.0,0.0,0.0,0.0,0,162,0
lstm_event,1,5,85201,0.09202453987730005,0.9999999999999333,0.16853932584269476,0.33632286995514943,15,148,0
lstm_event,1,5,85202,0.06796116504854303,0.9999999999998571,0.12727272727272496,0.2671755725190738,7,96,0
lstm_event,1,5,85204,0.27184466019417214,0.9655172413792771,0.4242424242424178,0.6392694063926795,28,75,1
lstm_event,1,5,85207,0.13150684931506812,0.9999999999999791,0.23244552058111265,0.43087971274685427,48,317,0
lstm_event,1,5,85208,0.062314540059346994,0.9999999999999525,0.11731843575418928,0.2494061757719685,21,316,0
lstm_event,1,5,85209,0.15975422427035305,0.9999999999999905,0.27549668874172106,0.48734770384254683,104,547,0
lstm_event,1,5,85211,0.2260869565217372,0.9999999999999616,0.36879432624112957,0.5936073059360595,26,89,0
lstm_event,1,5,85214,0.052631578947368286,0.9999999999999525,0.09999999999999952,0.21739130434782383,21,378,0
lstm_event,1,5,85215,0.10937499999999957,0.9999999999999644,0.1971830985915479,0.38043478260869046,28,228,0
lstm_event,1,5,85216,0.13333333333333314,0.9999999999999895,0.2352941176470582,0.4347826086956501,94,611,0
lstm_event,1,5,85217,0.05660377358490513,0.37499999999997663,0.09836065573770329,0.17647058823528894,6,100,10
lstm_event,1,5,85218,0.16224188790560423,0.9999999999999818,0.2791878172588818,0.4919499105545573,55,284,0
lstm_event,1,5,85219,0.02020202020202,0.9999999999995,0.03960396039603883,0.09345794392522927,2,97,0
lstm_event,1,5,85220,0.2758620689655159,0.9999999999999821,0.4324324324324291,0.6557377049180252,56,147,0
lstm_event,1,5,85221,0.05660377358490513,0.9999999999998334,0.10714285714285524,0.23076923076922187,6,100,0
lstm_event,1,5,85222,0.14666666666666633,0.9999999999999849,0.2558139534883711,0.4621848739495765,66,384,0
lstm_event,1,5,85224,0.1240310077519375,0.9999999999999687,0.22068965517241224,0.41450777202072,32,226,0
lstm_event,2,10,85101,0.04484304932735406,0.9999999999999,0.08583690987124391,0.19011406844106102,10,213,0
lstm_event,2,10,85102,0.09615384615384594,0.9999999999999777,0.17543859649122737,0.3472222222222195,45,423,0
lstm_event,2,10,85104,0.07361963190184004,0.9999999999999166,0.1371428571428556,0.284360189573453,12,151,0
lstm_event,2,10,85105,0.17737003058103948,0.9354838709677344,0.2982005141388167,0.5043478260869543,116,538,8
lstm_event,2,10,85106,0.21428571428571375,0.9999999999999886,0.35294117647058676,0.5769230769230731,87,319,0
lstm_event,2,10,85107,0.052511415525114034,0.9999999999999566,0.09978308026030325,0.21698113207546968,23,415,0
lstm_event,2,10,85111,0.005830903790087446,0.9999999999995,0.011594202898550655,0.02849002849002808,2,341,0
lstm_event,2,10,85112,0.09042553191489314,0.9999999999999413,0.16585365853658374,0.3320312499999935,17,171,0
