patient_id,model,rmse,lag_rmse,mae,hypo_precision,hypo_recall,hypo_f1
85101,patchtst_bounded_lag,21.249153,6.507402,15.782772,0.000000,0.000000,0.000000
85102,patchtst_bounded_lag,48.696712,20.259429,36.454071,0.000000,0.000000,0.000000
85104,patchtst_bounded_lag,32.873478,17.901475,23.202003,0.000000,0.000000,0.000000
85105,patchtst_bounded_lag,42.861202,31.143964,31.797350,0.024390,0.043478,0.031250
85106,patchtst_bounded_lag,34.445621,15.797942,25.586905,0.142857,0.166667,0.153846
85107,patchtst_bounded_lag,28.836870,11.224009,21.598181,0.000000,0.000000,0.000000
85111,patchtst_bounded_lag,33.426357,12.954646,26.318094,0.000000,0.000000,0.000000
85112,patchtst_bounded_lag,53.602509,20.752080,39.776249,0.000000,0.000000,0.000000
85116,patchtst_bounded_lag,50.909416,19.283399,36.026352,0.000000,0.000000,0.000000
85117,patchtst_bounded_lag,35.569984,21.711506,27.231504,0.000000,0.000000,0.000000
85118,patchtst_bounded_lag,33.839901,12.488492,23.575756,0.033333,0.071429,0.045455
85119,patchtst_bounded_lag,41.178963,18.976121,29.568747,0.000000,0.000000,0.000000
85120,patchtst_bounded_lag,41.665134,15.979781,31.979616,0.000000,0.000000,0.000000
85121,patchtst_bounded_lag,30.903967,14.689224,22.529808,0.000000,0.000000,0.000000
85122,patchtst_bounded_lag,53.145241,28.660640,40.087936,0.000000,0.000000,0.000000
85123,patchtst_bounded_lag,31.652353,9.796020,24.009308,0.125000,0.285714,0.173913
85124,patchtst_bounded_lag,42.293560,18.765117,30.702934,0.000000,0.000000,0.000000
85125,patchtst_bounded_lag,39.309471,14.946067,27.172501,0.076923,0.200000,0.111111
85126,patchtst_bounded_lag,28.738913,9.918661,19.823439,0.000000,0.000000,0.000000
85201,patchtst_bounded_lag,47.697109,25.286221,36.340351,0.000000,0.000000,0.000000
85202,patchtst_bounded_lag,36.410446,10.876622,24.627558,0.000000,0.000000,0.000000
85204,patchtst_bounded_lag,59.667828,27.842804,42.880409,0.074074,0.333333,0.121212
85207,patchtst_bounded_lag,38.607323,18.233916,29.757084,0.250000,0.200000,0.222222
85208,patchtst_bounded_lag,30.748899,9.258027,23.265411,0.000000,0.000000,0.000000
85209,patchtst_bounded_lag,37.031921,14.762164,28.022850,0.090909,0.200000,0.125000
85211,patchtst_bounded_lag,35.447250,14.005306,26.564165,0.333333,0.500000,0.400000
85214,patchtst_bounded_lag,41.469822,15.505434,30.440887,0.500000,1.000000,0.666667
85215,patchtst_bounded_lag,30.906538,11.721537,23.418592,0.000000,0.000000,0.000000
85216,patchtst_bounded_lag,34.610966,13.537978,25.393246,0.000000,0.000000,0.000000
85217,patchtst_bounded_lag,50.132244,19.091101,37.590771,0.000000,0.000000,0.000000
85218,patchtst_bounded_lag,40.155697,11.833002,30.031382,0.142857,0.200000,0.166667
85219,patchtst_bounded_lag,35.892025,16.115571,26.092514,0.000000,0.000000,0.000000
85220,patchtst_bounded_lag,39.758762,19.014893,30.325211,0.142857,0.111111,0.125000
85221,patchtst_bounded_lag,47.626846,16.805039,33.948139,0.000000,0.000000,0.000000
85222,patchtst_bounded_lag,50.003429,17.640171,38.689960,0.032258,0.125000,0.051282
85224,patchtst_bounded_lag,33.274323,18.054256,24.557034,0.000000,0.000000,0.000000
